English,Hindi,Gondi
The weather is nice today.,आज मौसम अच्छा है।,Aj jār barā lāgtan.
Please help me.,कृपया मेरी मदद करें।,Mōran sāhāy kara.
The weather is nice today.,आज मौसम अच्छा है।,Aj jār barā lāgtan.
I like to read.,मुझे पढ़ना पसंद है।,Nāy wāc barā lāgtan.
Please help me.,कृपया मेरी मदद करें।,Mōran sāhāy kara.
"Hello, how are you?","नमस्ते, आप कैसे हैं?","Nandhe, nīn kimma?"
Where do you live?,आप कहां रहते हैं?,Nīn endh vāsthān?
"Hello, how are you?","नमस्ते, आप कैसे हैं?","Nandhe, nīn kimma?"
I am fine.,मैं ठीक हूँ।,Nān barā hi.
Where do you live?,आप कहां रहते हैं?,Nīn endh vāsthān?
Please help me.,कृपया मेरी मदद करें।,Mōran sāhāy kara.
Where do you live?,आप कहां रहते हैं?,Nīn endh vāsthān?
The weather is nice today.,आज मौसम अच्छा है।,Aj jār barā lāgtan.
Where do you live?,आप कहां रहते हैं?,Nīn endh vāsthān?
Thank you!,धन्यवाद!,Jūkār!
I am fine.,मैं ठीक हूँ।,Nān barā hi.
"Hello, how are you?","नमस्ते, आप कैसे हैं?","Nandhe, nīn kimma?"
Where do you live?,आप कहां रहते हैं?,Nīn endh vāsthān?
"Hello, how are you?","नमस्ते, आप कैसे हैं?","Nandhe, nīn kimma?"
Where are you going?,आप कहां जा रहे हैं?,Nīn kudhe jān?
Thank you!,धन्यवाद!,Jūkār!
I like to read.,मुझे पढ़ना पसंद है।,Nāy wāc barā lāgtan.
What is your name?,आपका नाम क्या है?,Nīn nāv endh?
I am fine.,मैं ठीक हूँ।,Nān barā hi.
Thank you!,धन्यवाद!,Jūkār!
I am fine.,मैं ठीक हूँ।,Nān barā hi.
Where are you going?,आप कहां जा रहे हैं?,Nīn kudhe jān?
What is your name?,आपका नाम क्या है?,Nīn nāv endh?
The weather is nice today.,आज मौसम अच्छा है।,Aj jār barā lāgtan.
Thank you!,धन्यवाद!,Jūkār!
Where are you going?,आप कहां जा रहे हैं?,Nīn kudhe jān?
I like to read.,मुझे पढ़ना पसंद है।,Nāy wāc barā lāgtan.
I am fine.,मैं ठीक हूँ।,Nān barā hi.
I like to read.,मुझे पढ़ना पसंद है।,Nāy wāc barā lāgtan.
Please help me.,कृपया मेरी मदद करें।,Mōran sāhāy kara.
I like to read.,मुझे पढ़ना पसंद है।,Nāy wāc barā lāgtan.
Please help me.,कृपया मेरी मदद करें।,Mōran sāhāy kara.
"Hello, how are you?","नमस्ते, आप कैसे हैं?","Nandhe, nīn kimma?"
I am fine.,मैं ठीक हूँ।,Nān barā hi.
Thank you!,धन्यवाद!,Jūkār!
What is your name?,आपका नाम क्या है?,Nīn nāv endh?
Thank you!,धन्यवाद!,Jūkār!
Where do you live?,आप कहां रहते हैं?,Nīn endh vāsthān?
Where do you live?,आप कहां रहते हैं?,Nīn endh vāsthān?
What is your name?,आपका नाम क्या है?,Nīn nāv endh?
Thank you!,धन्यवाद!,Jūkār!
I like to read.,मुझे पढ़ना पसंद है।,Nāy wāc barā lāgtan.
Please help me.,कृपया मेरी मदद करें।,Mōran sāhāy kara.
